scope,metric,metric_label,metric_order,lag_bin,n_pairs,median_lag_days,mean_scaled_semivar,rho_hat,median_abs_raw_change,depth_label,treatment_label
overall,richness,"Formula richness
(detected formulae)",1,00-45 d,85,27,0.543239223885147,0.456760776114853,155,,
overall,richness,"Formula richness
(detected formulae)",1,46-90 d,85,70,0.902947353722385,0.097052646277615,150,,
overall,richness,"Formula richness
(detected formulae)",1,91-180 d,138,138,0.679475574508907,0.320524425491093,172.5,,
overall,richness,"Formula richness
(detected formulae)",1,181-365 d,254,267,0.825828620124029,0.174171379875971,187.5,,
overall,richness,"Formula richness
(detected formulae)",1,>365 d,1070,926,1.12667854402769,-0.126678544027689,250,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,00-45 d,85,27,0.848062061206767,0.151937938793233,0.052789203525372,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,46-90 d,85,70,0.855007461799907,0.144992538200093,0.052243393663692,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,91-180 d,138,138,0.74826643207391,0.25173356792609,0.066501136547866,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,181-365 d,254,267,0.759452188811874,0.240547811188126,0.04829492436956,,
overall,mean_nosc,"Mean NOSC
(formula-count mean)",2,>365 d,1070,926,1.11315651117759,-0.113156511177586,0.086315098655949,,
overall,mean_hc,"Mean H/C
(formula-count mean)",3,00-45 d,85,27,0.849409436809617,0.150590563190383,0.035837924414734,,
overall,mean_hc,"Mean H/C
(formula-count mean)",3,46-90 d,85,70,0.780441845862275,0.219558154137725,0.03766102754717,,
overall,mean_hc,"Mean H/C
(formula-count mean)",3,91-180 d,138,138,0.778197207722849,0.221802792277151,0.0461586936375601,,
overall,mean_hc,"Mean H/C
(formula-count mean)",3,181-365 d,254,267,0.894136710120834,0.105863289879166,0.0346275312626949,,
overall,mean_hc,"Mean H/C
(formula-count mean)",3,>365 d,1070,926,1.08314084293126,-0.0831408429312561,0.0428708283954335,,
overall,mean_oc,"Mean O/C
(formula-count mean)",4,00-45 d,85,27,0.645863253882242,0.354136746117758,0.019638450876228,,
overall,mean_oc,"Mean O/C
(formula-count mean)",4,46-90 d,85,70,0.85896417639623,0.14103582360377,0.023178002949712,,
overall,mean_oc,"Mean O/C
(formula-count mean)",4,91-180 d,138,138,0.602532354085075,0.397467645914925,0.026583409644626,,
overall,mean_oc,"Mean O/C
(formula-count mean)",4,181-365 d,254,267,0.684594937866668,0.315405062133332,0.0245121779461955,,
overall,mean_oc,"Mean O/C
(formula-count mean)",4,>365 d,1070,926,1.16547017695744,-0.165470176957436,0.040491421720181,,
overall,mean_ai,"Aromaticity
(mean AI_mod)",5,00-45 d,85,27,0.654220124265228,0.345779875734772,0.03265208791579,,
overall,mean_ai,"Aromaticity
(mean AI_mod)",5,46-90 d,85,70,0.712752739292641,0.287247260707359,0.035946897186874,,
overall,mean_ai,"Aromaticity
(mean AI_mod)",5,91-180 d,138,138,0.590868062011032,0.409131937988968,0.0338215227378205,,
overall,mean_ai,"Aromaticity
(mean AI_mod)",5,181-365 d,254,267,0.719952066933939,0.280047933066061,0.0319795715075395,,
overall,mean_ai,"Aromaticity
(mean AI_mod)",5,>365 d,1070,926,1.16953241966247,-0.169532419662466,0.051813231336712,,
overall,frac_lignin,"Lignin-like formulae
(%)",6,00-45 d,85,27,0.443070393821708,0.556929606178292,5.0291155490266,,
overall,frac_lignin,"Lignin-like formulae
(%)",6,46-90 d,85,70,0.593201655444937,0.406798344555063,5.6776168097651,,
overall,frac_lignin,"Lignin-like formulae
(%)",6,91-180 d,138,138,0.569850577112788,0.430149422887212,4.79108176493015,,
overall,frac_lignin,"Lignin-like formulae
(%)",6,181-365 d,254,267,0.728793788026546,0.271206211973455,5.2026693106854,,
overall,frac_lignin,"Lignin-like formulae
(%)",6,>365 d,1070,926,1.19641483552526,-0.19641483552526,8.3064290435404,,
overall,frac_n_containing,"N-containing formulae
(%)",7,00-45 d,85,27,0.729725082043867,0.270274917956133,5.6867605303001,,
overall,frac_n_containing,"N-containing formulae
(%)",7,46-90 d,85,70,0.735228403859476,0.264771596140524,6.8807070316683,,
