metric,metric_label,metric_order,plot,treatment_label,depth_label,date_1,date_2,lag_days,z_1,z_2,raw_1,raw_2,lag_bin,scaled_semivar,abs_raw_change
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2017-12-06,189,-1.17705279833938,0.295105154376218,163,432,181-365 d,1.08362451887189,269
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2018-05-09,343,-1.17705279833938,0.853321181056483,163,534,181-365 d,2.0612092481039,371
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2018-05-22,356,-1.17705279833938,-1.12779844304406,163,172,181-365 d,0.00121299575777869,9
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2018-10-10,497,-1.17705279833938,-0.941726434150643,163,206,>365 d,0.0276892488411455,43
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2018-11-07,525,-1.17705279833938,-0.50390994263671,163,286,>365 d,0.226560652091774,123
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2019-09-10,832,-1.17705279833938,1.03939318994991,163,568,>365 d,2.45631640950184,405
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2019-12-03,916,-1.17705279833938,-0.509382648780634,163,285,>365 d,0.222891714305901,122
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2020-01-28,972,-1.17705279833938,1.23093790498725,163,603,>365 d,2.89920961365375,440
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2021-12-15,1659,-1.17705279833938,-0.536746179500255,163,280,>365 d,0.204996283064598,117
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2022-08-23,1910,-1.17705279833938,-0.131765924849867,163,354,>365 d,0.546312323944744,191
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2022-09-08,1926,-1.17705279833938,-0.487491824204937,163,289,>365 d,0.237747168524622,126
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-05-31,2022-11-16,1995,-1.17705279833938,1.99711676513663,163,743,>365 d,5.03767620884876,580
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-12-06,2018-05-09,154,0.295105154376218,0.853321181056483,432,534,91-180 d,0.155802566221351,102
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-12-06,2018-05-22,167,0.295105154376218,-1.12779844304406,432,172,91-180 d,1.01232732377579,260
richness,"Formula richness
(detected formulae)",1,1,Control,0-10 cm,2017-12-06,2018-10-10,308,0.295105154376218,-0.941726434150643,432,206,181-365 d,0.76487618918894,226
