metric,sample_num,plot,date,treatment,treatment_label,depth_cm,depth_label,value,metric_label,multiplier,metric_order,value_plot
richness,1,1,2017-05-31,control,Control,10,0-10 cm,163,"Formula richness
(detected formulae)",1,1,163
richness,70,5,2017-05-31,control,Control,10,0-10 cm,461,"Formula richness
(detected formulae)",1,1,461
richness,26,3,2017-10-20,control,Control,10,0-10 cm,326,"Formula richness
(detected formulae)",1,1,326
richness,2,1,2017-12-06,control,Control,10,0-10 cm,432,"Formula richness
(detected formulae)",1,1,432
richness,27,3,2017-12-06,control,Control,10,0-10 cm,1691,"Formula richness
(detected formulae)",1,1,1691
richness,28,3,2018-01-17,control,Control,10,0-10 cm,141,"Formula richness
(detected formulae)",1,1,141
richness,29,3,2018-01-30,control,Control,10,0-10 cm,635,"Formula richness
(detected formulae)",1,1,635
richness,30,3,2018-02-13,control,Control,10,0-10 cm,60,"Formula richness
(detected formulae)",1,1,60
richness,31,3,2018-02-27,control,Control,10,0-10 cm,123,"Formula richness
(detected formulae)",1,1,123
richness,3,1,2018-05-09,control,Control,10,0-10 cm,534,"Formula richness
(detected formulae)",1,1,534
richness,32,3,2018-05-09,control,Control,10,0-10 cm,210,"Formula richness
(detected formulae)",1,1,210
richness,4,1,2018-05-22,control,Control,10,0-10 cm,172,"Formula richness
(detected formulae)",1,1,172
richness,33,3,2018-05-22,control,Control,10,0-10 cm,53,"Formula richness
(detected formulae)",1,1,53
richness,5,1,2018-10-10,control,Control,10,0-10 cm,206,"Formula richness
(detected formulae)",1,1,206
richness,71,5,2018-10-10,control,Control,10,0-10 cm,151,"Formula richness
(detected formulae)",1,1,151
richness,34,3,2018-10-23,control,Control,10,0-10 cm,108,"Formula richness
(detected formulae)",1,1,108
richness,72,5,2018-10-23,control,Control,10,0-10 cm,1125,"Formula richness
(detected formulae)",1,1,1125
richness,6,1,2018-11-07,control,Control,10,0-10 cm,286,"Formula richness
(detected formulae)",1,1,286
richness,35,3,2018-11-07,control,Control,10,0-10 cm,18,"Formula richness
(detected formulae)",1,1,18
