date,treatment_label,depth_label,metric_label,n_plots,mean_value,se_value,ymin,ymax
2017-05-31,Control,0-10 cm,"Formula richness
(detected formulae)",2,312,149,163,461
2017-10-20,Control,0-10 cm,"Formula richness
(detected formulae)",1,326,,326,326
2017-12-06,Control,0-10 cm,"Formula richness
(detected formulae)",2,1061.5,629.5,432,1691
2018-01-17,Control,0-10 cm,"Formula richness
(detected formulae)",1,141,,141,141
2018-01-30,Control,0-10 cm,"Formula richness
(detected formulae)",1,635,,635,635
2018-02-13,Control,0-10 cm,"Formula richness
(detected formulae)",1,60,,60,60
2018-02-27,Control,0-10 cm,"Formula richness
(detected formulae)",1,123,,123,123
2018-05-09,Control,0-10 cm,"Formula richness
(detected formulae)",2,372,162,210,534
2018-05-22,Control,0-10 cm,"Formula richness
(detected formulae)",2,112.5,59.5,53,172
2018-10-10,Control,0-10 cm,"Formula richness
(detected formulae)",2,178.5,27.5,151,206
2018-10-23,Control,0-10 cm,"Formula richness
(detected formulae)",2,616.5,508.5,108,1125
2018-11-07,Control,0-10 cm,"Formula richness
(detected formulae)",2,152,134,18,286
2019-09-10,Control,0-10 cm,"Formula richness
(detected formulae)",2,1069,501,568,1570
2019-11-05,Control,0-10 cm,"Formula richness
(detected formulae)",1,55,,55,55
2019-12-03,Control,0-10 cm,"Formula richness
(detected formulae)",1,285,,285,285
2019-12-17,Control,0-10 cm,"Formula richness
(detected formulae)",2,434,102,332,536
2019-12-31,Control,0-10 cm,"Formula richness
(detected formulae)",1,192,,192,192
2020-01-28,Control,0-10 cm,"Formula richness
(detected formulae)",3,372,132.794327188074,239.205672811926,504.794327188074
2020-02-25,Control,0-10 cm,"Formula richness
(detected formulae)",1,732,,732,732
2020-03-10,Control,0-10 cm,"Formula richness
(detected formulae)",2,433.5,261.5,172,695
2020-07-28,Control,0-10 cm,"Formula richness
(detected formulae)",1,1079,,1079,1079
2020-09-09,Control,0-10 cm,"Formula richness
(detected formulae)",1,886,,886,886
2020-10-06,Control,0-10 cm,"Formula richness
(detected formulae)",1,746,,746,746
2020-11-05,Control,0-10 cm,"Formula richness
(detected formulae)",1,1320,,1320,1320
2021-02-09,Control,0-10 cm,"Formula richness
(detected formulae)",1,1023,,1023,1023
2021-02-23,Control,0-10 cm,"Formula richness
(detected formulae)",1,1686,,1686,1686
2021-06-03,Control,0-10 cm,"Formula richness
(detected formulae)",1,996,,996,996
2021-12-15,Control,0-10 cm,"Formula richness
(detected formulae)",3,966,688.000968991566,277.999031008434,1654.00096899157
2022-08-23,Control,0-10 cm,"Formula richness
(detected formulae)",2,681,327,354,1008
2022-09-08,Control,0-10 cm,"Formula richness
(detected formulae)",3,228,63.5164020811423,164.483597918858,291.516402081142
2022-11-16,Control,0-10 cm,"Formula richness
(detected formulae)",3,761.666666666667,210.362649832247,551.30401683442,972.029316498914
2023-05-30,Control,0-10 cm,"Formula richness
(detected formulae)",1,180,,180,180
2023-12-27,Control,0-10 cm,"Formula richness
(detected formulae)",1,121,,121,121
2024-04-16,Control,0-10 cm,"Formula richness
(detected formulae)",1,251,,251,251
2024-04-30,Control,0-10 cm,"Formula richness
(detected formulae)",1,292,,292,292
2017-05-31,Warmed,0-10 cm,"Formula richness
(detected formulae)",2,794.5,149.5,645,944
2017-10-20,Warmed,0-10 cm,"Formula richness
(detected formulae)",1,731,,731,731
2017-12-06,Warmed,0-10 cm,"Formula richness
(detected formulae)",2,890,507,383,1397
2018-01-17,Warmed,0-10 cm,"Formula richness
(detected formulae)",1,878,,878,878
2018-01-30,Warmed,0-10 cm,"Formula richness
(detected formulae)",1,1335,,1335,1335
2018-02-13,Warmed,0-10 cm,"Formula richness
(detected formulae)",1,1246,,1246,1246
