scope,distance_metric,treatment_label,depth_label,n_pairs,n_series,intercept,slope_per_lag_doubling,random_mean_distance,random_median_distance,random_p25_distance,random_p75_distance,effective_randomization_days,fit_note,crossing_lwr_days,crossing_med_days,crossing_upr_days,random_mean_lwr,random_mean_upr
by_depth,formula_jaccard_distance,,0-10 cm,948,6,0.335525945752686,0.0406766586601531,0.69940622951815,0.715218137052158,0.567094766831609,0.854359770664119,493.079968754039,ok,419.28137130828,493.079968754038,558.215783407586,0.627715592581007,0.780515693616376
by_depth,formula_jaccard_distance,,10-30 cm,684,6,0.546457245207452,0.0247482543960541,0.763822845627221,0.789298055131884,0.657027888446215,0.891638181941248,440.52129977598,ok,387.677537939864,440.250993466387,486.24346165479,0.671044078669555,0.833126024811885
by_depth,metric_vector_distance,,0-10 cm,948,6,-0.0135263368504557,0.102592137492284,0.904229873527946,0.731774562799556,0.473103270640694,1.20582962945096,493.079968754042,ok,421.867946117786,493.079968754042,559.121609593838,0.708510370563114,1.06024000981634
by_depth,metric_vector_distance,,10-30 cm,684,6,0.449207384073569,0.0552445883546932,0.934424358389761,0.784715147528042,0.546772015908454,1.13740496850597,440.521299775973,ok,387.677537939866,440.127274144979,483.971719359703,0.833078637037068,1.13881569080013
by_depth,vk_class_braycurtis,,0-10 cm,948,6,-0.0250896705392466,0.0212839696171614,0.165309864699253,0.12391328651268,0.0742001535687356,0.237160047098016,493.079968754044,ok,421.867946117782,493.079968754044,558.215783407595,0.116379457214476,0.199360244211745
by_depth,vk_class_braycurtis,,10-30 cm,684,6,0.0726267784758586,0.0116836948960302,0.175245464850842,0.150396839372544,0.102331533877202,0.218360644755151,440.521299775978,ok,391.833225771887,440.521299775973,484.254819352948,0.136323203819535,0.220323455958994
by_treatment_depth,formula_jaccard_distance,Control,0-10 cm,480,3,0.50311621388507,0.0241817356313338,0.71955526660921,0.733593390142792,0.591780420777583,0.857700624355596,494.736900222749,ok,397.954986022499,494.736900222745,562.605563927493,0.599613090853843,0.842665243586356
by_treatment_depth,formula_jaccard_distance,Warmed,0-10 cm,468,3,0.162397938440902,0.0577518327230265,0.678740550450397,0.691450475512712,0.53898472086324,0.845411628485282,491.386316211445,ok,397.9549860225,491.386316211443,562.605563927486,0.660290597544155,0.699556672646586
by_treatment_depth,formula_jaccard_distance,Control,10-30 cm,372,3,0.601259683060872,0.0257467472381541,0.828624500414609,0.857675530202905,0.748360602519153,0.927047146401985,455.345293188688,ok,313.087896190913,455.345293188694,558.317769984201,0.807478664901737,0.837013193803683
by_treatment_depth,formula_jaccard_distance,Warmed,10-30 cm,312,3,0.511092899914744,0.020108147467374,0.68655933414995,0.698617911056711,0.558144128598674,0.808530789560247,423.475951993655,ok,313.08789619091,423.475951993666,442.038235959452,0.625409813754644,0.813646461756103
by_treatment_depth,metric_vector_distance,Control,0-10 cm,480,3,0.472970177572429,0.0474409806081123,0.89759151409135,0.723977559060531,0.488291589344082,1.06852365795125,494.736900222753,ok,397.954986022507,494.736900222749,562.605563927543,0.612943315823704,1.17463974149727
by_treatment_depth,metric_vector_distance,Warmed,0-10 cm,468,3,-0.518907138071207,0.159936399454852,0.91103844730907,0.748980693334768,0.465423475583498,1.37317974575409,491.386316211442,ok,397.954986022504,491.386316211445,562.605563927482,0.779070335694069,0.972360017024732
by_treatment_depth,metric_vector_distance,Control,10-30 cm,372,3,0.49375088475224,0.0508244120011458,0.942571974455847,0.78816878929501,0.584947405541258,1.1342366358284,455.345293188692,ok,313.087896190909,455.345293188691,558.317769984163,0.927029914799665,1.00379095025607
by_treatment_depth,metric_vector_distance,Warmed,10-30 cm,312,3,0.396354092650563,0.060548653630472,0.924709893080196,0.769473781389195,0.484386132958613,1.14086287102707,423.475951993659,ok,366.657696387993,423.475951993663,442.038235959453,0.759074885703325,1.31012551481014
by_treatment_depth,vk_class_braycurtis,Control,0-10 cm,480,3,0.0949449174345076,0.00663750112002733,0.154353988676384,0.118607421652879,0.0752411749405509,0.199297394664796,494.736900222751,ok,397.954986022497,494.736900222752,560.008727557981,0.083949103208294,0.214766820143735
by_treatment_depth,vk_class_braycurtis,Warmed,0-10 cm,468,3,-0.150185108668008,0.0365442596569597,0.176546660620144,0.133890664572692,0.0738432955978655,0.282430082545767,491.386316211442,ok,397.954986022503,491.386316211442,562.605563927484,0.145721691657158,0.199318157318229
by_treatment_depth,vk_class_braycurtis,Control,10-30 cm,372,3,0.121715648193835,0.00790237699019409,0.191500094532489,0.174983784706534,0.128002241406043,0.239175041192368,455.345293188696,ok,313.087896190907,455.345293188695,513.001050836219,0.188402228913264,0.199014164523972
by_treatment_depth,vk_class_braycurtis,Warmed,10-30 cm,312,3,0.0194027022851392,0.0156383350986668,0.155864944845801,0.124177853521693,0.0759894926212072,0.186037254707273,423.475951993659,ok,366.657696387994,423.475951993662,442.038235959458,0.116638643515668,0.257687156467968
overall,formula_jaccard_distance,,,1632,12,0.426991378423244,0.0337270788822856,0.726404370093276,0.748811398518675,0.596411128619116,0.872515282349421,470.328572822195,ok,425.196042809614,469.074775993661,514.408789095606,0.666845630606063,0.789624418104019
overall,metric_vector_distance,,,1632,12,0.16846249137798,0.0843053001047685,0.916884914977383,0.75489574248379,0.501481468824357,1.17044392252612,470.328572822189,ok,425.13977790821,470.010978850413,515.313454201837,0.803544072787636,1.03098071080323
overall,vk_class_braycurtis,,,1632,12,0.0139404722096253,0.0175199253033092,0.169474050056904,0.138936230972711,0.0828299569589753,0.226450764762373,470.3285728222,ok,425.773480469953,470.131898856499,514.765165254661,0.138988802632364,0.195088095083185
