scope,distance_metric,treatment_label,depth_label,n_pairs,term,estimate,std_error,t_value,p_value,r_squared,adj_r_squared,residual_standard_error,df_residual
overall,formula_jaccard_distance,,,1632,(Intercept),0.426991378423244,0.0221373379827338,19.2882892584592,7.81637698996341e-75,0.104050425169637,0.103500762853791,0.164006496103062,1630
overall,formula_jaccard_distance,,,1632,mod_dt$log2_lag,0.0337270788822856,0.00245134693431847,13.7585905977289,7.8705197521474e-41,0.104050425169637,0.103500762853791,0.164006496103062,1630
by_depth,formula_jaccard_distance,,0-10 cm,948,(Intercept),0.335525945752686,0.0280077353570368,11.9797599297291,6.86029523973104e-31,0.156131262948532,0.155239224114439,0.162718773448929,946
by_depth,formula_jaccard_distance,,0-10 cm,948,mod_dt$log2_lag,0.0406766586601531,0.00307462543368361,13.2297932016453,8.76434857689007e-37,0.156131262948532,0.155239224114439,0.162718773448929,946
by_depth,formula_jaccard_distance,,10-30 cm,684,(Intercept),0.546457245207452,0.0340936460520009,16.028125720962,2.64116140578406e-49,0.0579201072869537,0.0565387584706588,0.155945043454571,682
by_depth,formula_jaccard_distance,,10-30 cm,684,mod_dt$log2_lag,0.0247482543960541,0.00382191982873814,6.47534629323324,1.80973339788012e-10,0.0579201072869537,0.0565387584706588,0.155945043454571,682
by_treatment_depth,formula_jaccard_distance,Control,0-10 cm,480,(Intercept),0.50311621388507,0.0392276979887833,12.8255350091899,1.43803420253963e-32,0.061959583222848,0.0599971555726866,0.162594518112207,478
by_treatment_depth,formula_jaccard_distance,Control,0-10 cm,480,mod_dt$log2_lag,0.0241817356313338,0.00430358170082389,5.61897909982849,3.26689699147182e-08,0.061959583222848,0.0599971555726866,0.162594518112207,478
by_treatment_depth,formula_jaccard_distance,Warmed,0-10 cm,468,(Intercept),0.162397938440902,0.038140957481413,4.25783591091131,2.49755838633605e-05,0.289632910748938,0.28810851785355,0.155271248272093,466
by_treatment_depth,formula_jaccard_distance,Warmed,0-10 cm,468,mod_dt$log2_lag,0.0577518327230265,0.00418977088475351,13.7840073625945,1.69763026549666e-36,0.289632910748938,0.28810851785355,0.155271248272093,466
by_treatment_depth,formula_jaccard_distance,Control,10-30 cm,372,(Intercept),0.601259683060872,0.0346835183456345,17.3356023765839,1.04993659465907e-49,0.107034767319844,0.104621347772059,0.117847115023219,370
by_treatment_depth,formula_jaccard_distance,Control,10-30 cm,372,mod_dt$log2_lag,0.0257467472381541,0.00386612906159873,6.65956744535249,9.95236618999441e-11,0.107034767319844,0.104621347772059,0.117847115023219,370
by_treatment_depth,formula_jaccard_distance,Warmed,10-30 cm,312,(Intercept),0.511092899914744,0.0529623393037009,9.65011943645453,1.93872280305111e-19,0.035215561666835,0.0321033538012442,0.161936913094016,310
by_treatment_depth,formula_jaccard_distance,Warmed,10-30 cm,312,mod_dt$log2_lag,0.020108147467374,0.005977767916545,3.36382203994898,0.00086522362224527,0.035215561666835,0.0321033538012442,0.161936913094016,310
overall,vk_class_braycurtis,,,1632,(Intercept),0.0139404722096253,0.0145854189504972,0.955781404493018,0.339324411590765,0.0673299570750169,0.0667577668646335,0.108057412238634,1630
overall,vk_class_braycurtis,,,1632,mod_dt$log2_lag,0.0175199253033092,0.00161509581946747,10.847607363064,1.60844696478744e-26,0.0673299570750169,0.0667577668646335,0.108057412238634,1630
by_depth,vk_class_braycurtis,,0-10 cm,948,(Intercept),-0.0250896705392466,0.0190337842625092,-1.31816512119798,0.187767456468916,0.0988409365211956,0.0978883370883429,0.110582094189521,946
by_depth,vk_class_braycurtis,,0-10 cm,948,mod_dt$log2_lag,0.0212839696171614,0.00208948550986841,10.1862250380008,3.41521841885317e-23,0.0988409365211956,0.0978883370883429,0.110582094189521,946
by_depth,vk_class_braycurtis,,10-30 cm,684,(Intercept),0.0726267784758586,0.02262374869301,3.21020090266021,0.00138864193096128,0.0301801722428771,0.0287581490350221,0.103481495280839,682
by_depth,vk_class_braycurtis,,10-30 cm,684,mod_dt$log2_lag,0.0116836948960302,0.0025361368977176,4.60688652357249,4.87802812613298e-06,0.0301801722428771,0.0287581490350221,0.103481495280839,682
by_treatment_depth,vk_class_braycurtis,Control,0-10 cm,480,(Intercept),0.0949449174345076,0.0271511580860219,3.49690120523395,0.000514621393742347,0.0102811567802947,0.00821061526728284,0.112538580939606,478
by_treatment_depth,vk_class_braycurtis,Control,0-10 cm,480,mod_dt$log2_lag,0.00663750112002733,0.00297869192142225,2.22832749915879,0.0263230848634919,0.0102811567802947,0.00821061526728284,0.112538580939606,478
by_treatment_depth,vk_class_braycurtis,Warmed,0-10 cm,468,(Intercept),-0.150185108668008,0.0248504132926834,-6.04356583124619,3.08969916527852e-09,0.27775984059506,0.276209969008354,0.101165648343063,466
by_treatment_depth,vk_class_braycurtis,Warmed,0-10 cm,468,mod_dt$log2_lag,0.0365442596569597,0.00272980923823203,13.38711113771,8.24364808251785e-35,0.27775984059506,0.276209969008354,0.101165648343063,466
by_treatment_depth,vk_class_braycurtis,Control,10-30 cm,372,(Intercept),0.121715648193835,0.0276242705341327,4.40611266253862,1.38026734642822e-05,0.0174889275257943,0.014833492194783,0.0938613134523074,370
by_treatment_depth,vk_class_braycurtis,Control,10-30 cm,372,mod_dt$log2_lag,0.00790237699019409,0.00307924340469682,2.56633723015871,0.0106706792707062,0.0174889275257943,0.014833492194783,0.0938613134523074,370
by_treatment_depth,vk_class_braycurtis,Warmed,10-30 cm,312,(Intercept),0.0194027022851392,0.0362948363347006,0.534585749504779,0.593319536667954,0.0448988520576065,0.041817880612631,0.11097458750058,310
by_treatment_depth,vk_class_braycurtis,Warmed,10-30 cm,312,mod_dt$log2_lag,0.0156383350986668,0.00409653559548613,3.81745373234358,0.000162812053450913,0.0448988520576065,0.041817880612631,0.11097458750058,310
overall,metric_vector_distance,,,1632,(Intercept),0.16846249137798,0.0786896341070962,2.14084730841045,0.0324343182120394,0.0543096837248269,0.0537295056166827,0.582979361818602,1630
overall,metric_vector_distance,,,1632,mod_dt$log2_lag,0.0843053001047685,0.008713585774474,9.67515581837004,1.44282051527589e-21,0.0543096837248269,0.0537295056166827,0.582979361818602,1630
by_depth,metric_vector_distance,,0-10 cm,948,(Intercept),-0.0135263368504557,0.0994545802742515,-0.136005167516227,0.891846131233581,0.085369849132902,0.084403009649956,0.577809205557147,946
by_depth,metric_vector_distance,,0-10 cm,948,mod_dt$log2_lag,0.102592137492284,0.0109178974347426,9.39669364962327,4.0980624820203e-20,0.085369849132902,0.084403009649956,0.577809205557147,946
by_depth,metric_vector_distance,,10-30 cm,684,(Intercept),0.449207384073569,0.128344523039791,3.5000121036275,0.000495511324625063,0.0211609645443285,0.0197257166917542,0.58705050765381,682
by_depth,metric_vector_distance,,10-30 cm,684,mod_dt$log2_lag,0.0552445883546932,0.0143875042513069,3.83976173975239,0.000134618857116425,0.0211609645443285,0.0197257166917542,0.58705050765381,682
by_treatment_depth,metric_vector_distance,Control,0-10 cm,480,(Intercept),0.472970177572429,0.155717287534642,3.03736460518045,0.00251706632035221,0.0158774402547861,0.0138186064477878,0.645431127150891,478
