distance_metric,depth_label,scope,treatment_label,n_pairs,n_series,intercept,slope_per_lag_doubling,random_mean_distance,random_median_distance,random_p25_distance,random_p75_distance,effective_randomization_days,fit_note,crossing_lwr_days,crossing_med_days,crossing_upr_days,random_mean_lwr,random_mean_upr,distance_label,days_to_median_random,common_random_median_distance,common_random_mean_distance,days_to_common_median_random
formula_jaccard_distance,0-10 cm,by_treatment_depth,Control,480,3,0.50311621388507,0.0241817356313338,0.71955526660921,0.733593390142792,0.591780420777583,0.857700624355596,494.736900222749,ok,397.954986022499,494.736900222745,562.605563927493,0.599613090853843,0.842665243586356,"Formula identity
Jaccard",739.826714054868,0.715218137052158,0.69940622951815,436.900850355589
formula_jaccard_distance,0-10 cm,by_treatment_depth,Warmed,468,3,0.162397938440902,0.0577518327230265,0.678740550450397,0.691450475512712,0.53898472086324,0.845411628485282,491.386316211445,ok,397.9549860225,491.386316211443,562.605563927486,0.660290597544155,0.699556672646586,"Formula identity
Jaccard",572.365209076315,0.715218137052158,0.69940622951815,761.310069060411
formula_jaccard_distance,10-30 cm,by_treatment_depth,Control,372,3,0.601259683060872,0.0257467472381541,0.828624500414609,0.857675530202905,0.748360602519153,0.927047146401985,455.345293188688,ok,313.087896190913,455.345293188694,558.317769984201,0.807478664901737,0.837013193803683,"Formula identity
Jaccard",995.415488666712,0.789298055131884,0.763822845627221,157.956513698182
formula_jaccard_distance,10-30 cm,by_treatment_depth,Warmed,312,3,0.511092899914744,0.020108147467374,0.68655933414995,0.698617911056711,0.558144128598674,0.808530789560247,423.475951993655,ok,313.08789619091,423.475951993666,442.038235959452,0.625409813754644,0.813646461756103,"Formula identity
Jaccard",641.729882153904,0.789298055131884,0.763822845627221,14617.8584437236
metric_vector_distance,0-10 cm,by_treatment_depth,Control,480,3,0.472970177572429,0.0474409806081123,0.89759151409135,0.723977559060531,0.488291589344082,1.06852365795125,494.736900222753,ok,397.954986022507,494.736900222749,562.605563927543,0.612943315823704,1.17463974149727,"Scalar metric
vector",39.1499888223505,0.731774562799556,0.904229873527946,43.8739181576761
metric_vector_distance,0-10 cm,by_treatment_depth,Warmed,468,3,-0.518907138071207,0.159936399454852,0.91103844730907,0.748980693334768,0.465423475583498,1.37317974575409,491.386316211442,ok,397.954986022504,491.386316211445,562.605563927482,0.779070335694069,0.972360017024732,"Scalar metric
vector",243.444675146073,0.731774562799556,0.904229873527946,225.951457831482
metric_vector_distance,10-30 cm,by_treatment_depth,Control,372,3,0.49375088475224,0.0508244120011458,0.942571974455847,0.78816878929501,0.584947405541258,1.1342366358284,455.345293188692,ok,313.087896190909,455.345293188691,558.317769984163,0.927029914799665,1.00379095025607,"Scalar metric
vector",55.4395746613846,0.784715147528042,0.934424358389761,52.8888559862202
metric_vector_distance,10-30 cm,by_treatment_depth,Warmed,312,3,0.396354092650563,0.060548653630472,0.924709893080196,0.769473781389195,0.484386132958613,1.14086287102707,423.475951993659,ok,366.657696387993,423.475951993663,442.038235959453,0.759074885703325,1.31012551481014,"Scalar metric
vector",71.6210566884563,0.784715147528042,0.934424358389761,85.2739318947714
vk_class_braycurtis,0-10 cm,by_treatment_depth,Control,480,3,0.0949449174345076,0.00663750112002733,0.154353988676384,0.118607421652879,0.0752411749405509,0.199297394664796,494.736900222751,ok,397.954986022497,494.736900222752,560.008727557981,0.083949103208294,0.214766820143735,"Chemical class
Bray-Curtis",11.8348686186278,0.12391328651268,0.165309864699253,20.5968049530995
vk_class_braycurtis,0-10 cm,by_treatment_depth,Warmed,468,3,-0.150185108668008,0.0365442596569597,0.176546660620144,0.133890664572692,0.0738432955978655,0.282430082545767,491.386316211442,ok,397.954986022503,491.386316211442,562.605563927484,0.145721691657158,0.199318157318229,"Chemical class
Bray-Curtis",218.800441167747,0.12391328651268,0.165309864699253,181.075817402106
vk_class_braycurtis,10-30 cm,by_treatment_depth,Control,372,3,0.121715648193835,0.00790237699019409,0.191500094532489,0.174983784706534,0.128002241406043,0.239175041192368,455.345293188696,ok,313.087896190907,455.345293188695,513.001050836219,0.188402228913264,0.199014164523972,"Chemical class
Bray-Curtis",106.948607904667,0.150396839372544,0.175245464850842,12.3757022405165
vk_class_braycurtis,10-30 cm,by_treatment_depth,Warmed,312,3,0.0194027022851392,0.0156383350986668,0.155864944845801,0.124177853521693,0.0759894926212072,0.186037254707273,423.475951993659,ok,366.657696387994,423.475951993662,442.038235959458,0.116638643515668,0.257687156467968,"Chemical class
Bray-Curtis",103.960501001054,0.150396839372544,0.175245464850842,332.330732033035
