distance_metric,treatment_label,depth_label,n_pairs,slope_per_lag_doubling,permutation_p_positive_slope,distance_label
formula_jaccard_distance,Control,0-10 cm,480,0.0241817356313337,0.000499750124937531,"Formula identity
Jaccard"
formula_jaccard_distance,Warmed,0-10 cm,468,0.0577518327230266,0.000499750124937531,"Formula identity
Jaccard"
formula_jaccard_distance,Control,10-30 cm,372,0.0257467472381541,0.000499750124937531,"Formula identity
Jaccard"
formula_jaccard_distance,Warmed,10-30 cm,312,0.0201081474673739,0.00149925037481259,"Formula identity
Jaccard"
metric_vector_distance,Control,0-10 cm,480,0.0474409806081125,0.111444277861069,"Scalar metric
vector"
metric_vector_distance,Warmed,0-10 cm,468,0.159936399454852,0.000499750124937531,"Scalar metric
vector"
metric_vector_distance,Control,10-30 cm,372,0.0508244120011458,0.0354822588705647,"Scalar metric
vector"
metric_vector_distance,Warmed,10-30 cm,312,0.0605486536304717,0.0284857571214393,"Scalar metric
vector"
vk_class_braycurtis,Control,0-10 cm,480,0.00663750112002735,0.24687656171914,"Chemical class
Bray-Curtis"
vk_class_braycurtis,Warmed,0-10 cm,468,0.0365442596569598,0.000499750124937531,"Chemical class
Bray-Curtis"
vk_class_braycurtis,Control,10-30 cm,372,0.00790237699019406,0.0369815092453773,"Chemical class
Bray-Curtis"
vk_class_braycurtis,Warmed,10-30 cm,312,0.0156383350986668,0.00149925037481259,"Chemical class
Bray-Curtis"
