sample_num,sample_col,total_peak_area,formula_detected_n,delGcat_wmean,lambda_wmean,cue_wmean,nosc_wmean,ne_wmean,h_to_c_wmean,o_to_c_wmean,frac_CHO,frac_CHON,frac_CHOS,frac_CHOP,frac_N_containing,frac_P_containing,frac_S_containing,technical_rep,run_date_chr,run_date,tray_position,sample_name_raw,sample_is_extra,sample_date,depth,treatment_raw,plot,treatment
1,Sihi_60398_001_r1_Fir_09Oct24_300SA_p06_1_1_6065,10434419156.1267,238,-11640.4766543398,0.0422258971045435,0.546975710952149,-0.542913232307438,100.922824408286,1.23723480831474,0.328479526064911,0.6241173607906,0.037476777561892,0.28265396634107,0,0.0884338796555864,0.0429113002890026,0.30028935457125,1,09Oct24,2024-10-09,1,1,FALSE,2017-05-31,0-10 cm,Control treatment,1,control
1,Sihi_60398_001_r2_Fir_14Oct24_300SA_p06_1_1_6264,9370913533.3426,315,-12091.2072083964,0.0427343378354095,0.547440645393261,-0.548292027448434,105.010330829772,1.25085585629093,0.33245593300834,0.631387994380916,0.0535621723315045,0.247881487566527,0,0.111068946199921,0.0454917921538185,0.279219612986397,2,14Oct24,2024-10-14,1,1,FALSE,2017-05-31,0-10 cm,Control treatment,1,control
2,Sihi_60398_002_r1_Fir_09Oct24_300SA_p06_2_1_6172,21934293761.5074,713,-12778.093103934,0.0383127122130774,0.538077807716369,-0.453975711421574,110.59552659339,1.18013534596046,0.348923008246184,0.705686019316543,0.0615074731247914,0.215225736929721,0,0.0720182541738369,0.0121599304724603,0.228357098350102,1,09Oct24,2024-10-09,2,2,FALSE,2017-12-06,0-10 cm,Control treatment,1,control
2,Sihi_60398_002_r2_Fir_14Oct24_300SA_p06_2_1_6403,17726744136.1606,685,-12650.4707107175,0.0388503931312261,0.53904581594868,-0.463812120432234,109.505633608491,1.18834895860302,0.348442772441912,0.716743501386088,0.0563972205490121,0.202853492542043,0,0.0735210237138483,0.0123947276402678,0.221346532782654,2,14Oct24,2024-10-14,2,2,FALSE,2017-12-06,0-10 cm,Control treatment,1,control
3,Sihi_60398_003_r1_Fir_09Oct24_300SA_p06_3_1_6193,14935754328.2487,818,-13496.5683961576,0.0380051095214975,0.538889235436716,-0.461440694475508,116.894822994721,1.16149674467256,0.330494985996403,0.63856691215866,0.0827185661669779,0.230224577164967,0,0.120301135080262,0.0263951231864403,0.264037282567182,1,09Oct24,2024-10-09,3,3,FALSE,2018-05-09,0-10 cm,Control treatment,1,control
3,Sihi_60398_003_r2_Fir_14Oct24_300SA_p06_3_1_6318,11809968293.4123,787,-14006.7918205187,0.0375971618909204,0.540861725902942,-0.481103596236445,121.456088346279,1.17208061116643,0.326558675850544,0.633441925441688,0.077873598454692,0.224116371151792,0,0.129899533695824,0.0331635444359377,0.272628060374653,2,14Oct24,2024-10-14,3,3,FALSE,2018-05-09,0-10 cm,Control treatment,1,control
4,Sihi_60398_004_r1_Fir_09Oct24_300SA_p06_4_1_6096,13124750627.989,242,-11599.5674424784,0.0415532725119442,0.548848868680746,-0.560885185325673,100.663515544108,1.23235185294866,0.317889377236732,0.622879925824678,0.0280130806835581,0.324334202378685,0,0.0496360497094301,0.0214006767149426,0.33085613886403,1,09Oct24,2024-10-09,4,4,FALSE,2018-05-22,0-10 cm,Control treatment,1,control
4,Sihi_60398_004_r2_Fir_14Oct24_300SA_p06_4_1_6434,14341417469.9518,244,-11464.7428707465,0.0406908349199989,0.549086326229572,-0.563774937209521,99.5178835026531,1.28721456957526,0.344845981475616,0.654156504922365,0.0392228250321264,0.264852043718548,0,0.0631694236365768,0.0371905606429905,0.287252137125028,2,14Oct24,2024-10-14,4,4,FALSE,2018-05-22,0-10 cm,Control treatment,1,control
4,Sihi_60398_004_r2_Fir_24Oct24_300SA_p06_4_1_6524,13119885183.5614,252,-11736.4068806481,0.0406241630327176,0.550971202272714,-0.582285983725077,101.927138186501,1.24624171658861,0.3128272508864,0.613883421546586,0.0272436983322705,0.323652993166068,0,0.0562045039740811,0.0246364648835656,0.340495496550845,2,24Oct24,2024-10-24,4,4,FALSE,2018-05-22,0-10 cm,Control treatment,1,control
5,Sihi_60398_005_r1_Fir_09Oct24_300SA_p06_5_1_6099,15371023480.3231,341,-12132.1330563939,0.0388766104467507,0.546122489954727,-0.533315780449106,105.208986605278,1.23156294187103,0.329826115153456,0.628251067690987,0.0452527752198922,0.260537529877032,0,0.0941802341477583,0.0531945617602707,0.290332763613072,1,09Oct24,2024-10-09,5,5,FALSE,2018-10-10,0-10 cm,Control treatment,1,control
