response,block,positive_importance,top_feature,block_share
cue_wmean,bgc_sparse,0.000189737014197662,npoc_mg_l_10cm_pwchemistry_mean180d,0.452463362414479
cue_wmean,climate_flux,0.000117254378373503,vwc_40_50_mean7d,0.279614974026235
cue_wmean,experimental_structure,8.49061371806858e-05,depth_group,0.202474548684405
cue_wmean,calendar_time,2.74447418194181e-05,date_num,0.0654471148748805
evenness,bgc_sparse,0.00411130173157102,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,0.491818707299353
evenness,climate_flux,0.00235246063560033,vwc_mean90d,0.281415528295818
evenness,experimental_structure,0.00159202222094723,depth_group,0.190447299132898
evenness,calendar_time,0.00030360001956902,date_num,0.0363184652719314
frac_aromatic,bgc_sparse,0.00475328145064468,npoc_mg_l_10cm_pwchemistry_mean180d,0.436393835100723
frac_aromatic,experimental_structure,0.00294583918856632,depth_group,0.270454437515814
frac_aromatic,climate_flux,0.00203672406846389,temperature_sd90d,0.186989522187531
frac_aromatic,calendar_time,0.00115633815175434,date_num,0.106162205195932
frac_labile,bgc_sparse,0.00230279602568347,npoc_mg_l_10cm_pwchemistry_mean180d,0.484967387461571
frac_labile,climate_flux,0.00131699713201192,vwc_mean90d,0.277358763556419
frac_labile,experimental_structure,0.000936155275164161,depth_group,0.197153709226149
frac_labile,calendar_time,0.000192403900143346,date_num,0.0405201397558609
frac_lignin,bgc_sparse,0.00815947567524637,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,0.458787883932092
frac_lignin,experimental_structure,0.00500885741226871,depth_group,0.281636122779782
frac_lignin,climate_flux,0.00346080166837172,vwc_20_30_mean30d,0.194592635278979
frac_lignin,calendar_time,0.0011557195548127,date_num,0.0649833580091468
lambda_wmean,bgc_sparse,5.46318736254125e-06,rootgrowth_g_m2_day_0_10_minirhizotron_last365d__missing,0.561141753299401
lambda_wmean,climate_flux,2.0202608563471e-06,vwc_20_30_mean90d,0.207507567253822
lambda_wmean,calendar_time,1.40030426131288e-06,date_num,0.143829807802935
lambda_wmean,experimental_structure,8.52089364428599e-07,depth_group,0.0875208716438426
nosc_wmean,bgc_sparse,0.0196364655802621,npoc_mg_l_10cm_pwchemistry_mean180d,0.480352124836667
nosc_wmean,climate_flux,0.00972210770458242,vwc_40_50_mean7d,0.237824626570337
nosc_wmean,experimental_structure,0.00874752725702097,depth_group,0.213984196280225
nosc_wmean,calendar_time,0.00277321395463858,date_num,0.0678390523127716
richness,climate_flux,99719.8874916374,temp_40_50_mean30d,0.443920933894697
richness,bgc_sparse,76892.2473542446,npoc_mg_l_10cm_pwchemistry_mean180d,0.342299606561638
richness,experimental_structure,40870.0162924534,depth_group,0.181940195253017
richness,calendar_time,7152.19222717058,date_num,0.0318392642906483
shannon_classes,bgc_sparse,0.00665341682436161,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,0.477135887203567
shannon_classes,climate_flux,0.00557329061525698,vwc_mean90d,0.399676892723327
shannon_classes,experimental_structure,0.00125109599417467,depth_group,0.0897197354255098
shannon_classes,calendar_time,0.000466687020187144,date_num,0.0334674846475964
