response,model,n,rmse,mae,scaled_mae,r2
cue_wmean,calendar,196,0.0278120351563199,0.0222340808760434,0.928752973544545,-0.356591437936935
cue_wmean,structure_calendar,196,0.021728693577965,0.0167807050590076,0.700956779307206,0.171961055201404
cue_wmean,structure_calendar_climate,196,0.0217853060470341,0.0172570215483486,0.720853277763339,0.167640648486542
cue_wmean,structure_calendar_climate_bgc,196,0.0222493976127128,0.0174845776945992,0.730358660452951,0.131799469598444
cue_wmean,linear90,49,0.0194630095047539,0.0137553206803993,0.574581654856919,0.509232679563045
cue_wmean,nearest45,118,0.0195327264373516,0.0139620970862174,0.583219034689847,0.405251874964577
cue_wmean,global_mean,196,0.0240261417815013,0.0197017049694917,0.822971598256097,-0.012398757480649
cue_wmean,depth_mean,196,0.0215963879033233,0.0169358438687386,0.707437174501102,0.182014187366936
cue_wmean,trt_depth_mean,196,0.0209196374093357,0.0172477959653328,0.720467910465885,0.232476223557113
cue_wmean,plot_depth_mean,196,0.0180247748362841,0.0137584727135388,0.574713320301843,0.430198971454561
nosc_wmean,calendar,196,0.278565055272129,0.222702025849333,0.931172784945928,-0.363599847868017
nosc_wmean,structure_calendar,196,0.218119302878258,0.167936239967753,0.702183357640024,0.163969973548124
nosc_wmean,structure_calendar_climate,196,0.217235477219559,0.171453130587915,0.716888355588008,0.170731482019978
nosc_wmean,structure_calendar_climate_bgc,196,0.219912961899947,0.172302489126646,0.720439735746819,0.15016359868087
nosc_wmean,linear90,49,0.194786232362709,0.137259867901043,0.573917785288559,0.51058638720715
nosc_wmean,nearest45,118,0.194922636205638,0.139106766901608,0.581640131231805,0.408811579496474
nosc_wmean,global_mean,196,0.240020953892071,0.196651280025371,0.822248111062502,-0.012353033215603
nosc_wmean,depth_mean,196,0.215868841111654,0.169042746869476,0.706809939321579,0.181132577392462
nosc_wmean,trt_depth_mean,196,0.209056148839236,0.172462904334677,0.721110471791719,0.232002926594912
nosc_wmean,plot_depth_mean,196,0.180031360802237,0.13730023397667,0.574086565931284,0.430452431587342
lambda_wmean,calendar,196,0.00396841120273836,0.00316761410035233,0.801005776756547,-0.0121888646996562
lambda_wmean,structure_calendar,196,0.00363125463214115,0.0028660725056484,0.72475388759386,0.15249624952787
lambda_wmean,structure_calendar_climate,196,0.00357484227268846,0.00284127430425895,0.718483078733678,0.178624033937022
lambda_wmean,structure_calendar_climate_bgc,196,0.00371166958127725,0.00293225404028854,0.741489446245234,0.11454430271223
lambda_wmean,linear90,49,0.00335765175637339,0.00261886787158726,0.662242377778968,0.332671508789896
lambda_wmean,nearest45,118,0.00339313485188254,0.00262285314242471,0.663250147305686,0.211998454515317
lambda_wmean,global_mean,196,0.00397753836241134,0.00318142122054094,0.804497232054152,-0.0168501928075557
lambda_wmean,depth_mean,196,0.0037376437518065,0.00299650107704591,0.757735821577513,0.102108147012053
lambda_wmean,trt_depth_mean,196,0.00373049282557915,0.00301638615949464,0.762764232680664,0.105540585560219
lambda_wmean,plot_depth_mean,196,0.00325725359435536,0.00253947208882886,0.642165285486534,0.318083238867622
richness,calendar,195,683.662168400738,461.420807952386,0.787097225344701,-0.367031084544919
richness,structure_calendar,195,543.158341112625,323.567035767924,0.551944584372153,0.137124376550257
richness,structure_calendar_climate,195,563.410617886747,360.414191131519,0.614798910073743,0.0715781596084239
richness,structure_calendar_climate_bgc,195,573.490015611033,371.03180291067,0.632910561362818,0.0380621439543561
richness,linear90,48,378.819191826709,245.935767691472,0.419520223246956,0.676635259202708
richness,nearest45,117,441.954526415109,288.247863247863,0.491696710386202,0.584109894572982
richness,global_mean,195,589.02382629191,397.866555670784,0.67868560894688,-0.0147545768829693
richness,depth_mean,195,548.038942638343,346.418044992944,0.590924113789463,0.121547803316417
richness,trt_depth_mean,195,534.446928606937,331.837280084056,0.566052067697486,0.164580775666884
richness,plot_depth_mean,195,504.928011537343,286.895547142806,0.489389913129261,0.254317033803748
shannon_classes,calendar,195,0.165934662431239,0.130496640170011,0.873988506627363,-0.241423311185453
shannon_classes,structure_calendar,195,0.137085886083421,0.110077619150322,0.737234106939059,0.152711813940779
shannon_classes,structure_calendar_climate,195,0.139707483392179,0.111857793470489,0.749156650642806,0.119995276869469
shannon_classes,structure_calendar_climate_bgc,195,0.139352996160462,0.113724946428523,0.761661725281595,0.12445537687862
shannon_classes,linear90,48,0.1223502499138,0.0941752384500909,0.63072946481258,0.394476095508467
shannon_classes,nearest45,117,0.148219805669765,0.113518503851008,0.760279096274507,0.082923620387552
shannon_classes,global_mean,195,0.14924879630302,0.119190710171244,0.79826814430399,-0.00430896236854506
shannon_classes,depth_mean,195,0.142593972688622,0.114880515409412,0.769401035708252,0.0832561582307667
shannon_classes,trt_depth_mean,195,0.138261569519848,0.110226539521921,0.738231486588146,0.138116375980387
shannon_classes,plot_depth_mean,195,0.119239600733903,0.0952551361441385,0.637961974183713,0.358957696670139
evenness,calendar,195,0.121766378106514,0.0945359702183341,0.891431347556202,-0.325162968172756
evenness,structure_calendar,195,0.0911456477597875,0.0704473685116039,0.664286752429271,0.257517219804127
evenness,structure_calendar_climate,195,0.0937549420113429,0.0726885153598213,0.685419751332902,0.214397506140119
evenness,structure_calendar_climate_bgc,195,0.092365712936269,0.0714970235925914,0.674184524051574,0.237506601809761
evenness,linear90,48,0.0748266954465109,0.0534921320065015,0.504406557716398,0.619681443239756
evenness,nearest45,117,0.0834472303963879,0.0622119806244225,0.586630777619226,0.430167595474667
