response,feature,importance,feature_base,block
cue_wmean,depth_group,7.96187919012958e-05,depth_group,experimental_structure
cue_wmean,npoc_mg_l_10cm_pwchemistry_mean180d,1.84482835770607e-05,npoc_mg_l_10cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,1.71512050180054e-05,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_mean180d,1.48047357737564e-05,nh4_ugN_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,date_num,1.36970952872852e-05,date_num,calendar_time
cue_wmean,year,1.27944151049659e-05,year,calendar_time
cue_wmean,npoc_mg_l_10cm_pwchemistry_last365d,1.0521352518017e-05,npoc_mg_l_10cm_pwchemistry_last365d,bgc_sparse
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_last365d,9.89259152715771e-06,tn_ug_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,rootstock_g_m2_10_20_minirhizotron_last365d,7.36712793859762e-06,rootstock_g_m2_10_20_minirhizotron_last365d,bgc_sparse
cue_wmean,vwc_40_50_mean7d,7.26201222744516e-06,vwc_40_50_mean7d,climate_flux
cue_wmean,litterfall_mean_g_m2_mean180d,6.45405177088265e-06,litterfall_mean_g_m2_mean180d,bgc_sparse
cue_wmean,flux_mean90d,6.31283659185966e-06,flux_mean90d,climate_flux
cue_wmean,temp_40_50_mean90d,6.14711139592816e-06,temp_40_50_mean90d,climate_flux
cue_wmean,temp_40_50_sd90d,6.10976094605009e-06,temp_40_50_sd90d,climate_flux
cue_wmean,vwc_20_30_mean7d,5.71693383398242e-06,vwc_20_30_mean7d,climate_flux
cue_wmean,treatment,5.28734527939001e-06,treatment,experimental_structure
cue_wmean,npoc_mg_l_30cm_pwchemistry_mean180d,5.27433561910806e-06,npoc_mg_l_30cm_pwchemistry_mean180d,bgc_sparse
cue_wmean,vwc_40_50_mean30d,5.19157126236225e-06,vwc_40_50_mean30d,climate_flux
cue_wmean,tdn_mg_l_10cm_pwchemistry_last365d,5.16461617126574e-06,tdn_mg_l_10cm_pwchemistry_last365d,bgc_sparse
cue_wmean,litterfall_mean_g_m2_last365d,5.02456691226327e-06,litterfall_mean_g_m2_last365d,bgc_sparse
cue_wmean,npoc_ug_mL_lysimiter_surface_chemistry_last365d,5.00200633233194e-06,npoc_ug_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_mean180d,4.85848740791184e-06,po4_ugP_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_20_30_minirhizotron_mean180d,4.83330318412234e-06,rootmortality_g_m2_day_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_last365d,4.58644503940642e-06,no3_ugN_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_last365d,4.21746767965381e-06,nh4_ugN_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,temp_20_30_mean90d,3.86605686056596e-06,temp_20_30_mean90d,climate_flux
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_mean180d,3.58880973381903e-06,tn_ug_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,vwc_40_50_sd90d,3.50852658092582e-06,vwc_40_50_sd90d,climate_flux
cue_wmean,tdn_mg_l_30cm_pwchemistry_last365d,3.37297436779749e-06,tdn_mg_l_30cm_pwchemistry_last365d,bgc_sparse
cue_wmean,rootmortality_g_m2_day_0_10_minirhizotron_mean180d,3.29243238566823e-06,rootmortality_g_m2_day_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,vwc_20_30_mean30d,3.28231547442059e-06,vwc_20_30_mean30d,climate_flux
cue_wmean,npoc_mg_l_10cm_pwchemistry_days_since365d,3.13634476933133e-06,npoc_mg_l_10cm_pwchemistry_days_since365d,bgc_sparse
cue_wmean,vwc_40_50_mean7d__missing,3.02816758923719e-06,vwc_40_50_mean7d,climate_flux
cue_wmean,temp_40_50_mean30d,2.93932018127618e-06,temp_40_50_mean30d,climate_flux
cue_wmean,flux_mean30d,2.73467298442553e-06,flux_mean30d,climate_flux
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_days_since365d,2.69540388987788e-06,no3_ugN_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,rootstock_g_m2_20_30_minirhizotron_mean180d,2.67379105458354e-06,rootstock_g_m2_20_30_minirhizotron_mean180d,bgc_sparse
cue_wmean,flux_mean7d,2.66920163820306e-06,flux_mean7d,climate_flux
cue_wmean,temp_20_30_mean30d,2.49955139922475e-06,temp_20_30_mean30d,climate_flux
cue_wmean,vwc_mean30d,2.48973376883255e-06,vwc_mean30d,climate_flux
cue_wmean,temperature_sd30d__missing,2.43129111982876e-06,temperature_sd30d,climate_flux
cue_wmean,nh4_ugN_mL_lysimiter_surface_chemistry_mean180d__missing,2.39474259002881e-06,nh4_ugN_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,temperature_sd7d,2.38976612041308e-06,temperature_sd7d,climate_flux
cue_wmean,flux_sd90d__missing,2.32688662309877e-06,flux_sd90d,climate_flux
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_last365d,2.31292339454559e-06,po4_ugP_mL_lysimiter_surface_chemistry_last365d,bgc_sparse
cue_wmean,vwc_40_50_sd90d__missing,2.31196447997295e-06,vwc_40_50_sd90d,climate_flux
cue_wmean,vwc_20_30_mean90d,2.24344568190382e-06,vwc_20_30_mean90d,climate_flux
cue_wmean,vwc_sd30d,2.20297324771623e-06,vwc_sd30d,climate_flux
cue_wmean,rootgrowth_g_m2_day_0_10_minirhizotron_mean180d,2.18713982410335e-06,rootgrowth_g_m2_day_0_10_minirhizotron_mean180d,bgc_sparse
cue_wmean,vwc_40_50_mean90d,2.14513227105573e-06,vwc_40_50_mean90d,climate_flux
cue_wmean,tn_ug_mL_lysimiter_surface_chemistry_days_since365d,2.14361349371517e-06,tn_ug_mL_lysimiter_surface_chemistry_days_since365d,bgc_sparse
cue_wmean,tdn_mg_l_30cm_pwchemistry_days_since365d,2.13909669587209e-06,tdn_mg_l_30cm_pwchemistry_days_since365d,bgc_sparse
cue_wmean,temp_20_30_mean7d,2.11432099358011e-06,temp_20_30_mean7d,climate_flux
cue_wmean,rootstock_g_m2_0_10_minirhizotron_days_since365d,2.10026898094284e-06,rootstock_g_m2_0_10_minirhizotron_days_since365d,bgc_sparse
cue_wmean,po4_ugP_mL_lysimiter_surface_chemistry_mean180d__missing,1.97301113441495e-06,po4_ugP_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
cue_wmean,tdn_mg_l_10cm_pwchemistry_days_since365d,1.93556931488192e-06,tdn_mg_l_10cm_pwchemistry_days_since365d,bgc_sparse
cue_wmean,no3_ugN_mL_lysimiter_surface_chemistry_mean180d__missing,1.91822190606894e-06,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,bgc_sparse
