sample_id,sample_num,plot,treatment,date,depth_cm,sample_run_n,total_peak_area_mean,formula_detected_n_mean,cue_wmean,nosc_wmean,lambda_wmean,h_to_c_wmean,o_to_c_wmean,richness,shannon_classes,evenness,mean_nosc_pa,mean_hc,mean_oc,frac_labile,frac_aromatic,frac_lignin,year,doy,date_num,doy_sin,doy_cos,depth_group,flux_mean7d,flux_sd7d,vwc_mean7d,vwc_sd7d,temperature_mean7d,temperature_sd7d,temp_20_30_mean7d,temp_20_30_sd7d,temp_40_50_mean7d,temp_40_50_sd7d,vwc_20_30_mean7d,vwc_20_30_sd7d,vwc_40_50_mean7d,vwc_40_50_sd7d,flux_mean30d,flux_sd30d,vwc_mean30d,vwc_sd30d,temperature_mean30d,temperature_sd30d,temp_20_30_mean30d,temp_20_30_sd30d,temp_40_50_mean30d,temp_40_50_sd30d,vwc_20_30_mean30d,vwc_20_30_sd30d,vwc_40_50_mean30d,vwc_40_50_sd30d,flux_mean90d,flux_sd90d,vwc_mean90d,vwc_sd90d,temperature_mean90d,temperature_sd90d,temp_20_30_mean90d,temp_20_30_sd90d,temp_40_50_mean90d,temp_40_50_sd90d,vwc_20_30_mean90d,vwc_20_30_sd90d,vwc_40_50_mean90d,vwc_40_50_sd90d,npoc_ug_mL_lysimiter_surface_chemistry_mean180d,npoc_ug_mL_lysimiter_surface_chemistry_last365d,npoc_ug_mL_lysimiter_surface_chemistry_days_since365d,tn_ug_mL_lysimiter_surface_chemistry_mean180d,tn_ug_mL_lysimiter_surface_chemistry_last365d,tn_ug_mL_lysimiter_surface_chemistry_days_since365d,po4_ugP_mL_lysimiter_surface_chemistry_mean180d,po4_ugP_mL_lysimiter_surface_chemistry_last365d,po4_ugP_mL_lysimiter_surface_chemistry_days_since365d,no3_ugN_mL_lysimiter_surface_chemistry_mean180d,no3_ugN_mL_lysimiter_surface_chemistry_last365d,no3_ugN_mL_lysimiter_surface_chemistry_days_since365d,nh4_ugN_mL_lysimiter_surface_chemistry_mean180d,nh4_ugN_mL_lysimiter_surface_chemistry_last365d,nh4_ugN_mL_lysimiter_surface_chemistry_days_since365d,npoc_mg_l_10cm_pwchemistry_mean180d,npoc_mg_l_10cm_pwchemistry_last365d,npoc_mg_l_10cm_pwchemistry_days_since365d,tdn_mg_l_10cm_pwchemistry_mean180d,tdn_mg_l_10cm_pwchemistry_last365d,tdn_mg_l_10cm_pwchemistry_days_since365d,npoc_mg_l_30cm_pwchemistry_mean180d,npoc_mg_l_30cm_pwchemistry_last365d,npoc_mg_l_30cm_pwchemistry_days_since365d,tdn_mg_l_30cm_pwchemistry_mean180d,tdn_mg_l_30cm_pwchemistry_last365d,tdn_mg_l_30cm_pwchemistry_days_since365d,tfvol_ml_plotmean_throughfall_mean180d,tfvol_ml_plotmean_throughfall_last365d,tfvol_ml_plotmean_throughfall_days_since365d,npoc_mgC_L_plotmean_throughfall_mean180d,npoc_mgC_L_plotmean_throughfall_last365d,npoc_mgC_L_plotmean_throughfall_days_since365d,tdn_mgN_L_plotmean_throughfall_mean180d,tdn_mgN_L_plotmean_throughfall_last365d,tdn_mgN_L_plotmean_throughfall_days_since365d,litterfall_mean_g_m2_mean180d,litterfall_mean_g_m2_last365d,litterfall_mean_g_m2_days_since365d,rootstock_g_m2_0_10_minirhizotron_mean180d,rootstock_g_m2_0_10_minirhizotron_last365d,rootstock_g_m2_0_10_minirhizotron_days_since365d,rootgrowth_g_m2_day_0_10_minirhizotron_mean180d,rootgrowth_g_m2_day_0_10_minirhizotron_last365d,rootgrowth_g_m2_day_0_10_minirhizotron_days_since365d,rootmortality_g_m2_day_0_10_minirhizotron_mean180d,rootmortality_g_m2_day_0_10_minirhizotron_last365d,rootmortality_g_m2_day_0_10_minirhizotron_days_since365d,rootstock_g_m2_10_20_minirhizotron_mean180d,rootstock_g_m2_10_20_minirhizotron_last365d,rootstock_g_m2_10_20_minirhizotron_days_since365d,rootgrowth_g_m2_day_10_20_minirhizotron_mean180d,rootgrowth_g_m2_day_10_20_minirhizotron_last365d,rootgrowth_g_m2_day_10_20_minirhizotron_days_since365d,rootmortality_g_m2_day_10_20_minirhizotron_mean180d,rootmortality_g_m2_day_10_20_minirhizotron_last365d,rootmortality_g_m2_day_10_20_minirhizotron_days_since365d,rootstock_g_m2_20_30_minirhizotron_mean180d,rootstock_g_m2_20_30_minirhizotron_last365d,rootstock_g_m2_20_30_minirhizotron_days_since365d,rootgrowth_g_m2_day_20_30_minirhizotron_mean180d,rootgrowth_g_m2_day_20_30_minirhizotron_last365d,rootgrowth_g_m2_day_20_30_minirhizotron_days_since365d,rootmortality_g_m2_day_20_30_minirhizotron_mean180d,rootmortality_g_m2_day_20_30_minirhizotron_last365d,rootmortality_g_m2_day_20_30_minirhizotron_days_since365d,cv_fold
1,1,1,control,2017-05-31,10,2,9902666344.73466,276.5,0.547208178172705,-0.545602629877936,0.0424801174699765,1.24404533230283,0.330467729536626,163,1.03425548589226,0.577228977245392,-0.388599443603992,1.14100532911123,0.360781817814691,0.0736196319018405,0.282208588957055,0.638036809815951,2017,151,17317,0.517585510253189,-0.855631485848871,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27713839732578,2.00375861197355,0.378047218169082,0.0500072273952444,22.5007909371429,0.679876736839529,22.7227396686825,0.376909726963743,22.8265979909971,0.294250190914136,0.41254036666932,0.0197884395552376,0.41254036666932,0.0197884395552376,,,,,,,,,,,,,,,,1.72358181818182,1.5964,0,0.463272727272727,0.1502,0,1.14521666666667,1.1836,0,0.6109,0.3634,0,,,,,,,,,,28.6998966942149,39.84375,1,122.842804467171,139.933097280829,8,0.616121185366469,1.08411473834027,8,0.361159969469545,0.00301495830399949,8,0,0,8,0,0,8,0,0,8,14.9399108561454,15.4171065773076,8,0.012637449029728,0,8,0,0,8,2
2,2,1,control,2017-12-06,10,2,19830518948.834,699,0.538561811832524,-0.458893915926904,0.0385815526721517,1.18424215228174,0.348682890344048,432,1.02759307697559,0.573510616030571,-0.403394058224192,1.15872099143547,0.359691216533092,0.0833333333333333,0.259259259259259,0.648148148148148,2017,340,17506,-0.420831008595656,0.907139053400504,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91371428571429,1.5582,0,1.17565714285714,0.2582,0,1.27846666666667,1.0842,0,1.209,2.812,0,,,,,,,,,,28.9561377617598,1.23273705959113,1,145.770609093161,134.551986782988,31,2.15870938989436,5.10037288130555,31,0.393092449715533,0.23279552233533,31,6.64356146990805,4.58559813305343,31,0.52945516060876,0.74387656535986,31,0.0450392074218159,0,31,13.1156642668531,5.9508272267664,31,0.247762875221747,0.36661138693525,31,0.0128176639151166,0.128176639151167,31,3
3,3,1,control,2018-05-09,10,2,13372861310.8305,802.5,0.539875480669829,-0.471272145355976,0.037801135706209,1.1667886779195,0.328526830923473,534,1.23624968428535,0.689964085870276,-0.411312764108134,1.13647314814659,0.339909502940581,0.116104868913858,0.314606741573034,0.554307116104869,2018,129,17660,0.797101592787194,-0.603845220877104,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.104,5.732,1,1.535425,0.474,1,0.41520636125,2.22336867,1,1.7011442975,4.73138128,1,0.784979606,0.039777142,1,1.71889090909091,0.8818,0,0.269627272727273,0.1012,0,1.28344,1.596,0,1.15466,0.1864,0,,,,,,,,,,2.52556498306864,1.39475723140496,113,316.475521986623,537.148910598275,7,7.59186769556166,2.21851426756651,7,0.996578162574531,1.50503433023207,7,713.083848467807,929.840555223188,7,5.35119535824612,0.980946051975622,7,0.0994968983128211,0.0910269891787396,7,123.245923233543,177.720796302361,7,2.29158189737619,0.141190681313946,7,0.0549762039241911,0.655527805257165,7,2
4,4,1,control,2018-05-22,10,3,13528684427.1674,246,0.549635465727677,-0.56898203542009,0.0409560901548869,1.25526937970418,0.325187536532916,172,0.876276716080861,0.544461336042214,-0.401566510771441,1.14480965543383,0.357072167217379,0.0523255813953488,0.255813953488372,0.691860465116279,2018,142,17673,0.643336520404492,-0.765583517007675,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.67488888888889,5.242,0,1.44295555555556,0.7032,0,0.369072321111111,0,0,1.64170274,1.16617028,0,0.715213283555556,0.157082704,0,1.60861818181818,0.8818,13,0.2222,0.1012,13,1.26584,1.596,13,0.834,0.1864,13,,,,,,,,,,2.51696303586501,1.39475723140496,126,349.953342657661,555.597389574936,6,7.69356895993242,4.36197837306776,6,1.0548913109438,0.754866747936902,6,788.851600480479,932.224754985228,6,5.1320066517987,0.401187892486248,6,0.102410487374974,0.0349630687458359,6,137.056477315883,178.923254330444,6,2.20896122671808,0.293536949843334,6,0.0563631923018262,0.0166438605316212,6,3
5,5,1,control,2018-10-10,10,2,13882927195.8027,324,0.547783011662214,-0.550029871208958,0.0389511083059221,1.24094750879433,0.326277197775688,206,0.931754914760018,0.578931878988012,-0.426837569068144,1.18848923961396,0.362084779791827,0.0776699029126214,0.242718446601942,0.679611650485437,2018,283,17814,-0.987872659635043,0.155266249859996,surface,3.83822073329569,0.393357942960187,0.433192978194993,0.0178564252717194,24.9557984908715,0.426452288591629,25.3005565223038,0.126662569662678,25.435428188594,0.0702951694279548,0.425549820871447,0.00589681634858905,0.425549820871447,0.00589681634858905,4.23441390095946,0.61615037709562,0.42777535602778,0.0166809558429511,24.8658676201657,0.392035188187843,25.4184681464624,0.218046527137553,25.5685589499352,0.184904922213594,0.422061250009758,0.00976648727838133,0.422061250009758,0.00976648727838133,4.23441390095946,0.61615037709562,0.42777535602778,0.0166809558429511,24.8658676201657,0.392035188187843,25.4184681464624,0.218046527137553,25.5685589499352,0.184904922213594,0.422061250009758,0.00976648727838133,0.422061250009758,0.00976648727838133,5.59353846153846,5.212,29,0.818230769230769,0.7708,29,0.219294871538462,0.07448869,29,0.937998851769231,0.283705011,29,0.407665199153846,0,29,1.53956666666667,0.8818,154,0.1168,0.1012,154,3.03005,1.596,154,0.216533333333333,0.1864,154,,,,,,,,,,6.49841697823262,7.58458161157025,84,567.465013675351,612.59030445974,105,8.42114356548971,14.6421493278524,105,3.00739573341764,9.66350887347111,105,933.471852266871,947.935765198779,105,1.85091211445247,4.55945424656015,105,0.362503045672319,1.07528166486737,105,182.100969604643,188.087615585649,105,0.586462003740491,1.2675382036282,105,0.137431999573445,0.152420331651885,105,2
6,6,1,control,2018-11-07,10,2,11949625931.1092,424.5,0.544076590870285,-0.51382618944704,0.0366751528109065,1.17598346428839,0.311000486244199,286,1.10323353706303,0.615726360602596,-0.434799802768483,1.15352499537689,0.339995573572565,0.0909090909090909,0.307692307692308,0.594405594405594,2018,311,17842,-0.803547648533912,0.595240435904367,surface,3.31726512339561,1.98412367674073,0.411650648614909,0.0424050736847627,23.8275485937381,0.462778754877279,24.3180138632566,0.32473748787636,24.5333937070897,0.278880659325503,0.414897564513557,0.0283775815971829,0.414897564513557,0.0283775815971829,3.64750249734703,1.27667825114811,0.430029003956694,0.0275752500203291,24.2892703625475,0.521119764715211,24.8087413829393,0.372002184567129,24.9835884813515,0.327272733354913,0.419044932102354,0.01757137822634,0.419044932102354,0.01757137822634,3.83532322483177,1.16261107528787,0.428562359056249,0.0247868195883751,24.442621554429,0.542260913969912,24.9815643201844,0.434825540554504,25.1527968011603,0.399769324171254,0.419520989708397,0.0156634179854395,0.419520989708397,0.0156634179854395,5.80876923076923,5.212,57,0.835,0.7708,57,0.0590987830769231,0.07448869,57,0.473352621230769,0.283705011,57,0.445704905615385,0,57,1.71943333333333,0.8818,182,0.13025,0.1012,182,3.02148333333333,1.596,182,0.228516666666667,0.1864,182,,,,,,,,,,7.30632814155541,7.58458161157025,112,580.105650736192,612.59030445974,133,9.37401297594921,14.6421493278524,133,3.99545397991555,9.66350887347111,133,936.298432152072,947.935765198779,133,1.63383487748943,4.55945424656015,133,0.501579458381945,1.07528166486737,133,182.120851009037,188.087615585649,133,0.497929110501795,1.2675382036282,133,0.0422660480458764,0.152420331651885,133,2
7,7,1,control,2019-09-10,10,4,23164943646.0711,759,0.539399204339074,-0.466663591012126,0.0368478593781669,1.1718669001494,0.335339674940545,568,1.19460096281005,0.66671949183264,-0.432016965631344,1.1415742039547,0.334149027678319,0.119718309859155,0.294014084507042,0.575704225352113,2019,253,18149,-0.935834897334994,-0.352438710884603,surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8194891932386,9.90818367402976,0.306448723601433,0.0402173529490659,25.2841154226426,0.540599734612364,25.2389425327388,0.234982794240703,25.1926329301713,0.224721862387481,0.364324525771305,0.0401632859363621,0.364324525771305,0.0401632859363621,7.25569230769231,8.31,0,1.19361538461538,0.64,0,0.0550554030769231,0.01533472,0,0.563585294769231,0.11158052,0,0.548048652307692,0.12779532,0,3.4867,5.336,42,0.4396,0.4884,42,1.04824,0.7832,0,0.30072,0.4006,0,,,,,,,,,,13.8561466942149,10.6098915289256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
8,8,1,control,2019-12-03,10,2,22333085313.7217,463,0.53621893092898,-0.432418922262138,0.0379357905567534,1.16586199053029,0.3529660212276,285,0.842139299188871,0.470006891913729,-0.38042659789746,1.14937284999973,0.375015606951208,0.0491228070175439,0.231578947368421,0.715789473684211,2019,337,18233,-0.46706492487743,0.884223023874204,surface,3.98465537981859,0.594509674375658,0.387169603117914,0.0372356617229236,23.4055997562358,0.508133127709388,23.7932623781179,0.248682981856081,23.9693868197279,0.211473887213884,0.41344578489229,0.0191142262567243,0.41344578489229,0.0191142262567243,4.54916261219769,0.710647656368737,0.378419999109753,0.029684182715026,23.6511441499975,0.645480282815722,24.1103367228047,0.383877021388953,24.3230038988866,0.334162767419795,0.410371806124075,0.0143776100651325,0.410371806124075,0.0143776100651325,4.54916261219769,0.710647656368737,0.378419999109753,0.029684182715026,23.6511441499975,0.645480282815722,24.1103367228047,0.383877021388953,24.3230038988866,0.334162767419795,0.410371806124075,0.0143776100651325,0.410371806124075,0.0143776100651325,7.98230769230769,6.566,41,0.932307692307692,0.834,41,0.0341561776923077,0.03322421,41,0.400022064538462,0.587602954,41,0.197171621538462,0.06237312,41,3.65588,5.336,126,0.50252,0.4884,126,1.05631428571429,1.8086,56,0.339085714285714,0.5002,56,,,,,,,,,,11.6571513116071,13.9332318399304,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
9,9,1,control,2020-01-28,10,3,44816560646.1898,1009.33333333333,0.526317762810074,-0.332649573254177,0.0405281986009453,1.17415932261401,0.40866238038717,603,1.05098164933711,0.586564026805398,-0.309126187446995,1.13288110019671,0.399328541045965,0.0630182421227197,0.190713101160862,0.674958540630183,2020,28,18289,0.463257922567492,0.88622350294858,surface,2.73894825011764,0.439249147423095,0.431167050527009,0.00961962012015134,22.4675351625729,0.248970904020366,22.8778994908714,0.0840875056197942,23.0705525983437,0.0564156519653792,0.429966810031997,0.00678662436185692,0.429966810031997,0.00678662436185692,2.58725482692885,0.384109636127064,0.41686331878809,0.0204569072142752,22.5622540812639,0.53730924530455,23.1107509813832,0.354166037381919,23.3592452385381,0.324534815769853,0.427995309393376,0.00837122373334335,0.427995309393376,0.00837122373334335,3.56203637866586,0.994319877651129,0.400449137578993,0.0283924042734965,23.1613624935825,0.711297164624943,23.6306774740203,0.526638651926401,23.8466576451172,0.490869159260982,0.420272375885092,0.0131429057050812,0.420272375885092,0.0131429057050812,8.17923076923077,6.566,97,1.02335384615385,0.834,97,0.0459773230769231,0.03322421,97,0.581575942307692,0.587602954,97,0.133201606153846,0.06237312,97,2.51785714285714,5.336,182,0.369114285714286,0.4884,182,0.87516,1.8086,112,0.37716,0.5002,112,,,,,,,,,,11.9795443043798,13.9332318399304,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
10,10,1,control,2021-12-15,10,2,20527934206.5997,532.5,0.546636873688872,-0.539587225939646,0.0350146030441016,1.07100894199224,0.231687850460885,280,1.16147951002586,0.72166779535425,-0.474290158421361,1.07008251772827,0.268099124861696,0.0714285714285714,0.435714285714286,0.492857142857143,2021,349,18976,-0.27591294500296,0.961182629254084,surface,3.59345906641604,0.424638299661977,0.382259035588972,0.0103275778237745,23.2274915068922,0.284035718520903,23.5993399373434,0.0794179832846623,23.7648307362155,0.0446624910526235,0.419176099216792,0.00539197523036155,0.419176099216792,0.00539197523036155,3.73179056175793,0.458895668659698,0.382368515685362,0.00903951998827243,23.2008111215222,0.26074375612602,23.6011967568226,0.0693701696877182,23.7767679589757,0.0457115315426582,0.41872431580498,0.004941765593703,0.41872431580498,0.004941765593703,3.73179056175793,0.458895668659698,0.382368515685362,0.00903951998827243,23.2008111215222,0.26074375612602,23.6011967568226,0.0693701696877182,23.7767679589757,0.0457115315426582,0.41872431580498,0.004941765593703,0.41872431580498,0.004941765593703,12.8270769230769,7.978,14,2.33058461538462,2.32,14,0.112307692307692,0.198,14,1.39524546792308,1.565319274,14,0.123615384615385,0.098,14,2.63374285714286,2.064,57,0.316257142857143,0.3132,57,1.12196363636364,0.7505,43,0.691845454545455,0.8105,43,,,,,,,,,,15.813930387794,16.073347107438,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
