output_column,role,analysis_group,source_column,source_file,source_grain,aggregation,description,datasource,measurement,unit,depth,source_summary_stat,source_summary_class,source_observation_count_full_daily_table,notes,output_index,output_type,output_nonmissing_rows,output_nonmissing_fraction,analysis_start,analysis_end,output_grain,join_key,missing_value
plot,key,key,,,,,TRACE plot identifier (1-6).,,,identifier,,,,,,1,integer,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
month_start,key,key,,,,,First day of the calendar month.,,,YYYY-MM-DD,,,,,,2,IDate/Date,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
year_month,key,key,,,,,Calendar month join key for FT-ICR sample dates.,,,YYYY-MM,,,,,,3,character,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
year,key,key,,,,,Calendar year.,,,year,,,,,,4,integer,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
month,key,key,,,,,Calendar month number (1-12).,,,month,,,,,,5,integer,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
treatment,key,key,,,,,Experimental treatment derived from plot number.,,,control/warmed,,,,,,6,character,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
season,key,key,season,joined_data_flux_final_2_daily.csv,daily,mode,Season assigned to the calendar month in the joined TRACE dataset.,season.assignment,season,category,,,none,21012,,7,character,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
temp_cs655_cen_0_10cm__monthly_mean,covariate,temperature,temp_cs655_cen_0_10cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly temp_cs655_cen_0_10cm within plot.,flux,temp_cs655_cen_0_10cm,degC,0-10cm,,none,21124,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,8,numeric,498,0.988095238095238,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
vwc_cs655_cen_0_10cm__monthly_mean,covariate,vwc,vwc_cs655_cen_0_10cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly vwc_cs655_cen_0_10cm within plot.,flux,vwc_cs655_cen_0_10cm,percent_volume,0-10cm,,none,19398,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,9,numeric,497,0.986111111111111,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
temp_cs655_cen_20_30cm__monthly_mean,covariate,temperature,temp_cs655_cen_20_30cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly temp_cs655_cen_20_30cm within plot.,flux,temp_cs655_cen_20_30cm,degC,20-30cm,,none,20580,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,10,numeric,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
vwc_cs655_cen_20_30cm__monthly_mean,covariate,vwc,vwc_cs655_cen_20_30cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly vwc_cs655_cen_20_30cm within plot.,flux,vwc_cs655_cen_20_30cm,percent_volume,20-30cm,,none,19416,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,11,numeric,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
temp_cs655_cen_40_50cm__monthly_mean,covariate,temperature,temp_cs655_cen_40_50cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly temp_cs655_cen_40_50cm within plot.,flux,temp_cs655_cen_40_50cm,degC,40-50cm,,none,19132,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,12,numeric,504,1,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
vwc_cs655_cen_40_50cm__monthly_mean,covariate,vwc,vwc_cs655_cen_40_50cm,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly vwc_cs655_cen_40_50cm within plot.,flux,vwc_cs655_cen_40_50cm,percent_volume,40-50cm,,none,17700,Central CS655 profile selected to provide one temperature or VWC series at each standard soil depth.,13,numeric,489,0.970238095238095,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
flux__monthly_mean,covariate,soil_co2_flux,flux,joined_data_flux_final_2_hourly.csv,hourly,mean,Calendar-month mean of hourly flux within plot.,flux,flux,umolCO2.m2.s,,,none,9204,Plot-level soil CO2 flux summarized from hourly observations; no interpolation or imputation.,14,numeric,358,0.71031746031746,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4_ugN.mL_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,nh4_ugN.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4_ugN.mL_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,nh4,ugN.mL,,,none,626,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",15,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
nh4_ugN_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,nh4_ugN_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily nh4_ugN_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,nh4,ugN,,,none,624,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",16,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
no3_ugN.mL_lysimiter.surface.chemistry__monthly_mean,covariate,porewater,no3_ugN.mL_lysimiter.surface.chemistry,joined_data_flux_final_2_daily.csv,daily,mean,Calendar-month mean of non-missing daily no3_ugN.mL_lysimiter.surface.chemistry values within plot.,lysimiter.surface.chemistry,no3,ugN.mL,,,none,626,"Observed source values only; no temporal interpolation or imputation. If a plot had multiple observation dates in a month, their arithmetic mean is reported. Existing source-level means and SDs retain their original meaning.",17,numeric,304,0.603174603174603,2017-05-01,2024-04-30,one row per TRACE plot and calendar month,plot + year_month,blank field in CSV
