output_column,role,analysis_group,source_column,source_file,source_grain,aggregation,description,datasource,measurement,unit,depth,source_summary_stat,source_summary_class,temporal_match,depth_match,notes,output_index,output_type,output_nonmissing_rows,output_nonmissing_fraction,fticr_date_start,fticr_date_end,output_grain,join_key,missing_value
sample_num,key,key,,,,,Unique FT-ICR spectrum identifier.,,,identifier,,,,FT-ICR sample date,,,1,integer,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
plot,key,key,,,,,TRACE plot identifier (1-6).,,,identifier,,,,FT-ICR sample date,,,2,integer,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
date,key,key,,,,,Porewater collection date for the FT-ICR spectrum.,,,YYYY-MM-DD,,,,FT-ICR sample date,,,3,IDate/Date,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
depth_cm,key,key,,,,,Exact FT-ICR porewater sampling depth.,,,cm,,,,FT-ICR sample date,,,4,integer,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
treatment,key,key,,,,,Experimental treatment for the TRACE plot.,,,control/warmed,,,,FT-ICR sample date,,,5,character,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
porewater_npoc_mg_C_L__exact_sample,covariate,matched_porewater_cn,npoc_mg.l_{depth_cm}cm_pwchemistry,pwchemistry.csv,individual porewater sample,none,"NPOC concentration measured in the porewater sample matching the FT-ICR plot, collection date, and depth.",pwchemistry,NPOC,mg C L^-1,matched to depth_cm,none,,same plot and exact FT-ICR collection date,exact FT-ICR depth (10 or 30 cm),"Observed concentration from the matching sample; no interpolation, nearest-date matching, or temporal averaging.",6,numeric,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
porewater_tdn_mg_N_L__exact_sample,covariate,matched_porewater_cn,tdn_mg.l_{depth_cm}cm_pwchemistry,pwchemistry.csv,individual porewater sample,none,"TDN concentration measured in the porewater sample matching the FT-ICR plot, collection date, and depth.",pwchemistry,TDN,mg N L^-1,matched to depth_cm,none,,same plot and exact FT-ICR collection date,exact FT-ICR depth (10 or 30 cm),"Observed concentration from the matching sample; no interpolation, nearest-date matching, or temporal averaging. TDN includes organic and inorganic dissolved nitrogen.",7,numeric,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
temp_cs655_cen_0_10cm__same_day_mean,covariate,temperature,temp_cs655_cen_0_10cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly temp_cs655_cen_0_10cm values on the FT-ICR collection date within plot.,flux,temp_cs655_cen_0_10cm,degC,0-10cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",8,numeric,189,0.969230769230769,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
vwc_cs655_cen_0_10cm__same_day_mean,covariate,vwc,vwc_cs655_cen_0_10cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly vwc_cs655_cen_0_10cm values on the FT-ICR collection date within plot.,flux,vwc_cs655_cen_0_10cm,percent_volume,0-10cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",9,numeric,187,0.958974358974359,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
temp_cs655_cen_20_30cm__same_day_mean,covariate,temperature,temp_cs655_cen_20_30cm,joined_data_flux_final_2_hourly.csv,hourly,arithmetic mean within exact FT-ICR date,Mean of observed hourly temp_cs655_cen_20_30cm values on the FT-ICR collection date within plot.,flux,temp_cs655_cen_20_30cm,degC,20-30cm,,none,same plot and exact FT-ICR collection date,source-specific sensor depth; not selected by FT-ICR depth,"No interpolation, nearest-date matching, or carry-forward.",10,numeric,195,1,2017-05-31,2024-04-30,one row per FT-ICR spectrum,sample_num (also unique by plot + date + depth_cm),blank field means no observation on the exact FT-ICR date
